,attendant,motion,ROI,DTW,PCC,CCC,RMSE,MAE
224,alex,resting,lower medial forehead,2.075869724,0.332342146,0.285547019,1.902440733,4.05927973
225,alex,resting,left lower lateral forehead,2.173184382,0.310757704,0.265423021,2.368663197,6.855209948
226,alex,resting,right lower lateral forehead,2.218445427,0.331306746,0.278037616,1.895610045,4.050726766
227,alex,resting,glabella,2.143743115,0.334450655,0.289039016,1.874639077,3.917781279
228,alex,resting,upper nasal dorsum,2.19537151,0.159876018,0.133192194,3.626007784,15.64537671
229,alex,resting,lower nasal dorsum,2.272030513,0.238369737,0.195602959,2.776694843,8.985852246
230,alex,resting,soft triangle,2.266028305,0.305822172,0.245642632,3.938819882,18.57550549
231,alex,resting,left ala,2.229764708,0.203798065,0.168305009,4.363831092,21.50786575
232,alex,resting,right ala,2.301405805,0.197695296,0.156218808,4.389572645,22.45769157
233,alex,resting,nasal tip,2.204565295,0.265847523,0.212504206,3.378122014,12.50154135
234,alex,resting,left lower nasal sidewall,2.205169504,0.182266991,0.148528112,5.464398007,33.05325427
235,alex,resting,right lower nasal sidewall,2.384627252,0.205336342,0.161913872,3.857925312,18.07974133
236,alex,resting,left mid nasal sidewall,2.26453701,0.152289084,0.119865009,5.415519755,31.40767899
237,alex,resting,right mid nasal sidewall,2.410690953,0.109904907,0.087765043,4.309179863,19.44837448
238,alex,resting,philtrum,2.163947145,0.251553244,0.209219776,3.577115976,13.61867447
239,alex,resting,left upper lip,2.386411829,0.240205837,0.184500509,3.722544033,17.3022311
240,alex,resting,right upper lip,2.459231526,0.123555713,0.097177661,4.952058798,27.31784084
241,alex,resting,left nasolabial fold,2.216504637,0.250295721,0.203214097,3.010845472,10.79507098
242,alex,resting,right nasolabial fold,2.321344147,0.263611429,0.213350061,2.046085247,4.58268767
243,alex,resting,left temporal,2.295966302,0.159687628,0.128001649,4.527120942,22.88436987
244,alex,resting,right temporal,2.235221308,0.273181425,0.227707871,5.167367661,28.97007915
245,alex,resting,left malar,2.217530956,0.269196893,0.219924628,2.503408473,7.976724863
246,alex,resting,right malar,2.151441587,0.231819177,0.198967528,2.101207717,5.107781034
247,alex,resting,left lower cheek,2.14785373,0.222507591,0.187901536,2.614402507,7.415208277
248,alex,resting,right lower cheek,2.095440694,0.313057424,0.267932276,1.879440852,3.917946568
249,alex,resting,chin,2.176846084,0.310067608,0.264753567,1.933805095,4.247288426
250,alex,resting,left marionette fold,2.244125774,0.217246612,0.177771333,2.626887146,7.84597139
251,alex,resting,right marionette fold,2.208361669,0.286649486,0.247678156,1.989085626,4.384188966
252,alex,gym,lower medial forehead,2.321828718,0.234651626,0.198718371,3.856439329,17.26212793
253,alex,gym,left lower lateral forehead,2.342044632,0.185231223,0.15812827,4.93240339,26.72979902
254,alex,gym,right lower lateral forehead,2.30500599,0.197003965,0.170581937,4.881185191,25.5520411
255,alex,gym,glabella,2.319285392,0.227790685,0.19781362,3.884967143,17.58298151
256,alex,gym,upper nasal dorsum,2.314441631,0.15038551,0.127473195,5.883555538,35.88793533
257,alex,gym,lower nasal dorsum,2.317647431,0.111579432,0.095320808,6.345546534,41.15467332
